id,name,type,parentId
0,Warehouse,WAREHOUSE,-1
1,Zone A - Receiving,ZONE,0
2,Aisle A1,AISLE,1
3,Shelf A1-01,SHELF,2
4,Shelf A1-02,SHELF,2
5,Shelf A1-03,SHELF,2
6,Aisle A2,AISLE,1
7,Shelf A2-01,SHELF,6
8,Shelf A2-02,SHELF,6
9,Zone B - Storage,ZONE,0
10,Aisle B1,AISLE,9
11,Shelf B1-01,SHELF,10
12,Shelf B1-02,SHELF,10
13,Shelf B1-03,SHELF,10
14,Aisle B2,AISLE,9
15,Shelf B2-01,SHELF,14
16,Shelf B2-02,SHELF,14
17,Aisle B3,AISLE,9
18,Shelf B3-01,SHELF,17
19,Shelf B3-02,SHELF,17
20,Zone C - Dispatch,ZONE,0
21,Aisle C1,AISLE,20
22,Shelf C1-01,SHELF,21
23,Shelf C1-02,SHELF,21
24,Aisle C2,AISLE,20
25,Shelf C2-01,SHELF,24
26,Shelf C2-02,SHELF,24
